dia;Modelo;Placa;odometro  Final;odometro Inicial;Distancia Diaria;Consumo Promedio [kWh/km];Energia [kWh];Costo Aproximado [$MXN];kgCO2;Scoring;Nro. de Veloc.;Penalizacion Veloc.;Nro. de Acel.;Penalizacion  Acel.;Nro. de Fren.;Penalizacion Fren.
24/7/2024;JAC EJ7;26F433;150,851,00;150,851,00;0;0,165;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
4/8/2024;JAC EJ7;26F433;151,891,00;151,828,00;63;0,165;10,42;48,97;4,48;NULL;NULL;NULL;NULL;NULL;NULL;NULL
31/8/2024;JAC EJ7;26F433;156,814,00;156,599,00;215;0,165;35,55;167,09;15,29;8.909.999.971.091.740;2;0.20000000298023224;15;5.600.000.083.446.500;18;5.100.000.202.655.790
30/8/2024;JAC EJ7;26F433;156,599,00;156,334,00;265;0,165;43,81;205,91;18,84;8.559.999.963.641.160;5;0.800000011920929;20;7.600.000.113.248.820;21;6.000.000.238.418.570
29/8/2024;JAC EJ7;26F433;156,334,00;156,218,00;116;0,165;19,18;90,15;8,25;9.229.999.978.840.350;2;0.20000000298023224;10;36.000.000.536.441.800;14;39.000.001.549.720.700
28/8/2024;JAC EJ7;26F433;156,218,00;156,070,00;148;0,165;24,47;115,01;10,52;9.349.999.979.138.370;0;0;6;20.000.000.298.023.200;16;4.500.000.178.813.930
27/8/2024;JAC EJ7;26F433;156,070,00;156,006,00;64;0,165;10,58;49,73;4,55;9.859.999.996.423.720;1;0;3;0.800000011920929;3;0.6000000238418579
26/8/2024;JAC EJ7;26F433;156,006,00;155,824,00;182;0,165;30,09;141,42;12,94;9.349.999.982.118.600;0;0;9;3.200.000.047.683.710;12;33.000.001.311.302.100
25/8/2024;JAC EJ7;26F433;155,824,00;155,731,00;93;0,165;15,38;72,29;6,61;971.999.998.986.721;1;0;2;0.4000000059604645;9;24.000.000.953.674.300
24/8/2024;JAC EJ7;26F433;155,731,00;155,460,00;271;0,165;44,8;210,56;19,26;7.159.999.923.408.030;2;0.20000000298023224;37;14.400.000.214.576.700;47;13.800.000.548.362.700
