Placa;dia;Modelo;Odómetro Final;Odómetro Inicial;Distancia Diaria;Consumo Promedio [kWh/km];Energía [kWh];Costo Aproximado [$];kgCO2;Scoring;Nro. de Veloc.;Penalización Veloc.;Nro. de Acel.;Penalización Acel.;Nro. de Fren.;Penalización Fren.
RE7115A;31/8/2024;BYD T018 SWB;22145;22124;21;1,15;24,05;37,52;10,34;100;0;0;0;0;1;0
RE7700A;31/8/2024;BYD T018 SWB;26864;26796;68;1,17;79,42;123,9;34,15;9.819.999.992.847.440;0;0;1;0;7;18.000.000.715.255.700
RE7701A;31/8/2024;BYD T018 SWB;29141;29092;49;1,12;54,98;85,77;23,64;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7702A;31/8/2024;BYD T018 SWB;7625;7546;79;1,12;88,65;138,29;38,12;973.999.999.165.535;0;0;3;0.800000011920929;7;18.000.000.715.255.700
RE7703A;31/8/2024;BYD T018 SWB;25110;25037;73;1,17;85,26;133,01;36,66;100;0;0;1;0;0;0
RE7706A;31/8/2024;BYD T018 SWB;33071;32980;91;1,15;104,2;162,55;44,81;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7708A;31/8/2024;BYD T018 SWB;25306;25225;81;1,28;103,87;162,04;44,66;9.729.999.989.271.160;0;0;0;0;10;27.000.001.072.883.600
RE7710A;31/8/2024;BYD T018 SWB;23979;23979;0;1,21;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7711A;31/8/2024;BYD T018 SWB;24828;24797;31;1,21;37,62;58,69;16,18;9.839.999.994.635.580;0;0;2;0.4000000059604645;5;12.000.000.476.837.100
RE7712A;31/8/2024;BYD T018 SWB;12946;12905;41;1,21;49,76;77,63;21,4;100;0;0;1;0;1;0
RE7713A;31/8/2024;BYD T018 SWB;25347;25271;76;1,17;88,76;138,47;38,17;9.649.999.988.079.070;0;0;3;0.800000011920929;10;27.000.001.072.883.600
RE7716A;31/8/2024;BYD T018 SWB;28977;28914;63;1,19;75,02;117,03;32,26;100;0;0;0;0;0;0
RN4491A;31/8/2024;VW eDelivery;8444;8401;43;0,58;24,94;38,91;10,72;100;1;0;0;0;0;0
RN4492A;31/8/2024;VW eDelivery;4938;4907;31;0,57;17,67;27,57;7,6;100;1;0;0;0;0;0
RE7115A;30/8/2024;BYD T018 SWB;22124;22092;32;1,15;36,64;57,16;15,76;100;0;0;1;0;0;0
RE7700A;30/8/2024;BYD T018 SWB;26796;26755;41;1,17;47,88;74,69;20,59;9.939.999.997.615.810;0;0;0;0;3;0.6000000238418579
RE7701A;30/8/2024;BYD T018 SWB;29092;28973;119;1,12;133,53;208,31;57,42;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7702A;30/8/2024;BYD T018 SWB;7546;7504;42;1,12;47,13;73,52;20,27;9.879.999.995.231.620;0;0;0;0;5;12.000.000.476.837.100
RE7703A;30/8/2024;BYD T018 SWB;25037;25006;31;1,17;36,2;56,47;15,57;9.919.999.998.807.900;0;0;3;0.800000011920929;1;0
RE7706A;30/8/2024;BYD T018 SWB;32980;32938;42;1,15;48,09;75,02;20,68;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7708A;30/8/2024;BYD T018 SWB;25225;25151;74;1,28;94,9;148,04;40,81;100;0;0;1;0;0;0
RE7710A;30/8/2024;BYD T018 SWB;23979;23951;28;1,21;33,98;53,01;14,61;100;0;0;0;0;1;0
RE7711A;30/8/2024;BYD T018 SWB;24797;24763;34;1,21;41,27;64,38;17,75;9.819.999.992.847.440;0;0;0;0;7;18.000.000.715.255.700
RE7712A;30/8/2024;BYD T018 SWB;12905;12830;75;1,21;91,03;142,01;39,14;100;0;0;0;0;0;0
RE7713A;30/8/2024;BYD T018 SWB;25271;25193;78;1,17;91,1;142,12;39,17;9.909.999.996.423.720;0;0;0;0;4;0.9000000357627869
RE7716A;30/8/2024;BYD T018 SWB;28914;28821;93;1,19;110,74;172,75;47,62;9.969.999.998.807.900;0;0;1;0;2;0.30000001192092896
RN4491A;30/8/2024;VW eDelivery;8401;8358;43;0,58;24,94;38,91;10,72;9.959.999.999.403.950;3;0.4000000059604645;0;0;0;0
RN4492A;30/8/2024;VW eDelivery;4907;4872;35;0,57;19,95;31,12;8,58;100;0;0;0;0;0;0
RE7115A;29/8/2024;BYD T018 SWB;22092;22041;51;1,15;58,4;91,1;25,11;100;0;0;0;0;0;0
RE7700A;29/8/2024;BYD T018 SWB;26755;26689;66;1,17;77,08;120,24;33,14;9.729.999.989.271.160;0;0;1;0;10;27.000.001.072.883.600
RE7701A;29/8/2024;BYD T018 SWB;28973;28973;0;1,12;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7702A;29/8/2024;BYD T018 SWB;7504;7441;63;1,12;70,69;110,28;30,4;9.699.999.988.079.070;0;0;0;0;11;30.000.001.192.092.800
RE7703A;29/8/2024;BYD T018 SWB;25006;25006;0;1,17;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
RE7706A;29/8/2024;BYD T018 SWB;32938;32881;57;1,15;65,27;101,82;28,07;NULL;NULL;NULL;NULL;NULL;NULL;NULL
