Placa,dia,Modelo,Odómetro Final,Odómetro Inicial,Distancia Diaria,Consumo Promedio [kWh/km],Energía [kWh],Costo Aproximado [$],kgCO2,Scoring,Nro. de Veloc.,Penalización Veloc.,Nro. de Acel.,Penalización Acel.,Nro. de Fren.,Penalización Fren.
19192,31/8/2024,BYD T018 SWB,"13,102.00","13,057.00",45.0,"0,756","34,01","108,83","14,62",9.859.999.996.423.720,0.0,0.0,3.0,0.800000011920929,3.0,0.6000000238418579
19192,30/8/2024,BYD T018 SWB,"13,057.00","13,014.00",43.0,"0,756","32,5",104,"13,98",9.829.999.995.231.620,0.0,0.0,3.0,0.800000011920929,4.0,0.9000000357627869
19192,29/8/2024,BYD T018 SWB,"13,014.00","12,963.00",51.0,"0,756","38,54","123,33","16,57",9.859.999.996.423.720,0.0,0.0,3.0,0.800000011920929,3.0,0.6000000238418579
19192,28/8/2024,BYD T018 SWB,"12,963.00","12,922.00",41.0,"0,756","30,98","99,14","13,32",9.939.999.997.615.810,0.0,0.0,1.0,0,3.0,0.6000000238418579
19192,27/8/2024,BYD T018 SWB,"12,922.00","12,898.00",24.0,"0,756","18,14","58,05","7,8",9.969.999.998.807.900,0.0,0.0,1.0,0,2.0,0.30000001192092896
19192,26/8/2024,BYD T018 SWB,"12,898.00","12,880.00",18.0,"0,756","13,6","43,52","5,85",992.999.999.821.186,0.0,0.0,2.0,0.4000000059604645,2.0,0.30000001192092896
19192,24/8/2024,BYD T018 SWB,"12,880.00","12,833.00",47.0,"0,756","35,52","113,66","15,27",9.709.999.990.463.250,0.0,0.0,3.0,0.800000011920929,8.0,21.000.000.834.465.000
19192,23/8/2024,BYD T018 SWB,"12,833.00","12,792.00",41.0,"0,756","30,98","99,14","13,32",9.609.999.990.463.250,0.0,0.0,7.0,2.400.000.035.762.780,6.0,15.000.000.596.046.400
19192,22/8/2024,BYD T018 SWB,"12,792.00","12,735.00",57.0,"0,756","43,07","137,82","18,52",9.639.999.988.675.110,0.0,0.0,4.0,12.000.000.178.813.900,9.0,24.000.000.953.674.300
19192,21/8/2024,BYD T018 SWB,"12,735.00","12,693.00",42.0,"0,756","31,74","101,57","13,65",9.839.999.994.635.580,0.0,0.0,2.0,0.4000000059604645,5.0,12.000.000.476.837.100
19192,20/8/2024,BYD T018 SWB,"12,693.00","12,653.00",40.0,"0,756","30,23","96,74",13,9.369.999.983.906.740,0.0,0.0,10.0,36.000.000.536.441.800,10.0,27.000.001.072.883.600
19192,19/8/2024,BYD T018 SWB,"12,653.00","12,636.00",17.0,"0,756","12,85","41,12","5,53",9.969.999.998.807.900,0.0,0.0,1.0,0,2.0,0.30000001192092896
19192,17/8/2024,BYD T018 SWB,"12,636.00","12,592.00",44.0,"0,756","33,25","106,4","14,3",9.729.999.992.251.390,0.0,0.0,4.0,12.000.000.178.813.900,6.0,15.000.000.596.046.400
19192,16/8/2024,BYD T018 SWB,"12,592.00","12,553.00",39.0,"0,756","29,47","94,3","12,67",9.899.999.997.019.760,0.0,0.0,2.0,0.4000000059604645,3.0,0.6000000238418579
19192,15/8/2024,BYD T018 SWB,"12,553.00","12,496.00",57.0,"0,756","43,07","137,82","18,52",9.709.999.990.463.250,0.0,0.0,3.0,0.800000011920929,8.0,21.000.000.834.465.000
19192,14/8/2024,BYD T018 SWB,"12,496.00","12,457.00",39.0,"0,756","29,47","94,3","12,67",9.909.999.996.423.720,0.0,0.0,0.0,0,4.0,0.9000000357627869
19192,13/8/2024,BYD T018 SWB,"12,457.00","12,413.00",44.0,"0,756","33,25","106,4","14,3",992.999.999.821.186,0.0,0.0,2.0,0.4000000059604645,2.0,0.30000001192092896
19192,12/8/2024,BYD T018 SWB,"12,413.00","12,394.00",19.0,"0,756","14,36","45,95","6,17",100,0.0,0.0,0.0,0,0.0,0
19192,10/8/2024,BYD T018 SWB,"12,394.00","12,356.00",38.0,"0,756","28,72","91,9","12,35",9.759.999.996.423.720,0.0,0.0,7.0,2.400.000.035.762.780,1.0,0
19192,9/8/2024,BYD T018 SWB,"12,356.00","12,306.00",50.0,"0,756","37,79","120,93","16,25",9.849.999.994.039.530,0.0,0.0,1.0,0,6.0,15.000.000.596.046.400
19192,8/8/2024,BYD T018 SWB,"12,306.00","12,245.00",61.0,"0,756","46,1","147,52","19,82",968.999.999.165.535,0.0,0.0,5.0,1.600.000.023.841.850,6.0,15.000.000.596.046.400
19192,7/8/2024,BYD T018 SWB,"12,245.00","12,205.00",40.0,"0,756","30,23","96,74",13,9.789.999.994.635.580,0.0,0.0,4.0,12.000.000.178.813.900,4.0,0.9000000357627869
19192,6/8/2024,BYD T018 SWB,"12,205.00","12,155.00",50.0,"0,756","37,79","120,93","16,25",9.919.999.998.807.900,0.0,0.0,3.0,0.800000011920929,1.0,0
19192,5/8/2024,BYD T018 SWB,"12,155.00","12,136.00",19.0,"0,756","14,36","45,95","6,17",100,0.0,0.0,0.0,0,0.0,0
19192,3/8/2024,BYD T018 SWB,"12,136.00","12,098.00",38.0,"0,756","28,72","91,9","12,35",9.859.999.996.423.720,0.0,0.0,3.0,0.800000011920929,3.0,0.6000000238418579
19192,2/8/2024,BYD T018 SWB,"12,098.00","12,063.00",35.0,"0,756","26,45","84,64","11,37",9.969.999.998.807.900,0.0,0.0,1.0,0,2.0,0.30000001192092896
19192,1/8/2024,BYD T018 SWB,"12,063.00","12,015.00",48.0,"0,756","36,27","116,06","15,6",9.869.999.995.827.670,0.0,0.0,2.0,0.4000000059604645,4.0,0.9000000357627869
19192,31/7/2024,BYD T018 SWB,"12,015.00","11,972.00",43.0,"0,756","32,5",104,"13,98",9.809.999.993.443.480,0.0,0.0,2.0,0.4000000059604645,6.0,15.000.000.596.046.400
19192,30/7/2024,BYD T018 SWB,"11,972.00","11,899.00",73.0,"0,756","55,17","176,54","23,72",9.869.999.995.827.670,0.0,0.0,2.0,0.4000000059604645,4.0,0.9000000357627869
19192,29/7/2024,BYD T018 SWB,"11,899.00","11,884.00",15.0,"0,756","11,34","36,29","4,88",9.969.999.998.807.900,0.0,0.0,0.0,0,2.0,0.30000001192092896
19192,27/7/2024,BYD T018 SWB,"11,884.00","11,848.00",36.0,"0,756","27,21","87,07","11,7",100,0.0,0.0,1.0,0,1.0,0
19192,26/7/2024,BYD T018 SWB,"11,848.00","11,800.00",48.0,"0,756","36,27","116,06","15,6",9.839.999.994.635.580,0.0,0.0,2.0,0.4000000059604645,5.0,12.000.000.476.837.100
