Placa,dia,Modelo,Odómetro Final,Odómetro Inicial,Distancia Diaria,Consumo Promedio [kWh/km],Energía [kWh],Costo Aproximado [$],kgCO2,Scoring,Nro. de Veloc.,Penalización Veloc.,Nro. de Acel.,Penalización Acel.,Nro. de Fren.,Penalización Fren.
A788AH,1/7/2024,BYD T018 SWB,"18,035.00","17,999.00",36,"0,824","29,68","77,17","12,76",,,,,,,
A788AH,24/6/2024,BYD T018 SWB,"17,678.00","17,642.00",36,"0,824","29,68","77,17","12,76",,,,,,,
A788AH,30/7/2024,BYD T018 SWB,"19,405.00","19,405.00",0,"0,824",0,0,0,,,,,,,
A788AH,8/7/2024,BYD T018 SWB,"18,368.00","18,368.00",0,"0,824",0,0,0,,,,,,,
A788AH,6/8/2024,BYD T018 SWB,"19,605.00","19,605.00",0,"0,824",0,0,0,,,,,,,
A788AH,11/6/2024,BYD T018 SWB,"17,025.00","16,989.00",36,"0,824","29,68","77,17","12,76",,,,,,,
A788AH,12/8/2024,BYD T018 SWB,"19,925.00","19,887.00",38,"0,824","31,33","81,46","13,47",,,,,,,
A788AH,20/8/2024,BYD T018 SWB,"20,372.00","20,336.00",36,"0,824","29,68","77,17","12,76",,,,,,,
A788AH,6/6/2024,BYD T018 SWB,"16,807.00","16,771.00",36,"0,824","29,68","77,17","12,76",,,,,,,
A788AH,26/6/2024,BYD T018 SWB,"17,751.00","17,715.00",36,"0,824","29,68","77,17","12,76",,,,,,,
A788AH,9/7/2024,BYD T018 SWB,"18,404.00","18,368.00",36,"0,824","29,68","77,17","12,76",,,,,,,
A788AH,30/8/2024,BYD T018 SWB,"20,962.00","20,926.00",36,"0,824","29,68","77,17","12,76",,,,,,,
A788AH,4/6/2024,BYD T018 SWB,"16,734.00","16,697.00",37,"0,824","30,5","79,3","13,12",,,,,,,
A788AH,7/8/2024,BYD T018 SWB,"19,605.00","19,605.00",0,"0,824",0,0,0,,,,,,,
A788AH,26/8/2024,BYD T018 SWB,"20,666.00","20,630.00",36,"0,824","29,68","77,17","12,76",,,,,,,
A788AH,1/8/2024,BYD T018 SWB,"19,441.00","19,405.00",36,"0,824","29,68","77,17","12,76",,,,,,,
A788AH,15/7/2024,BYD T018 SWB,"18,663.00","18,663.00",0,"0,824",0,0,0,,,,,,,
A788AH,16/7/2024,BYD T018 SWB,"18,699.00","18,663.00",36,"0,824","29,68","77,17","12,76",,,,,,,
A788AH,31/8/2024,BYD T018 SWB,"21,004.00","20,962.00",42,"0,824","34,62","90,01","14,89",100,0.0,0.0,0.0,0,0.0,0
A788AH,29/8/2024,BYD T018 SWB,"20,926.00","20,888.00",38,"0,824","31,33","81,46","13,47",100,0.0,0.0,0.0,0,0.0,0
A788AH,28/8/2024,BYD T018 SWB,"20,888.00","20,742.00",146,"0,824","120,36","312,94","51,75",9.819.999.992.847.440,0.0,0.0,1.0,0,7.0,18.000.000.715.255.700
A788AH,27/8/2024,BYD T018 SWB,"20,742.00","20,666.00",76,"0,824","62,65","162,89","26,94",100,0.0,0.0,1.0,0,1.0,0
A788AH,24/8/2024,BYD T018 SWB,"20,630.00","20,592.00",38,"0,824","31,33","81,46","13,47",100,0.0,0.0,0.0,0,0.0,0
A788AH,23/8/2024,BYD T018 SWB,"20,592.00","20,519.00",73,"0,824","60,18","156,47","25,88",100,0.0,0.0,0.0,0,0.0,0
A788AH,22/8/2024,BYD T018 SWB,"20,519.00","20,446.00",73,"0,824","60,18","156,47","25,88",100,0.0,0.0,0.0,0,0.0,0
