Placa,dia,Modelo,Odómetro Final,Odómetro Inicial,Distancia Diaria,Consumo Promedio [kWh/km],Energía [kWh],Costo Aproximado [$],kgCO2,Scoring,Nro. de Veloc.,Penalización Veloc.,Nro. de Acel.,Penalización Acel.,Nro. de Fren.,Penalización Fren.
RE7115A,2024-08-31,BYD T018 SWB,22145,22124.0,21.0,1.15,24.05,37.52,10.34,100,0.0,0,0.0,0,1.0,0
RE7700A,2024-08-31,BYD T018 SWB,26864,26796.0,68.0,1.17,79.42,123.9,34.15,9.819.999.992.847.440,0.0,0,1.0,0,7.0,18.000.000.715.255.700
RE7701A,2024-08-31,BYD T018 SWB,29141,29092.0,49.0,1.12,54.98,85.77,23.64,,,,,,,
RE7702A,2024-08-31,BYD T018 SWB,7625,7546.0,79.0,1.12,88.65,138.29,38.12,973.999.999.165.535,0.0,0,3.0,0.800000011920929,7.0,18.000.000.715.255.700
RE7703A,2024-08-31,BYD T018 SWB,25110,25037.0,73.0,1.17,85.26,133.01,36.66,100,0.0,0,1.0,0,0.0,0
RE7706A,2024-08-31,BYD T018 SWB,33071,32980.0,91.0,1.15,104.2,162.55,44.81,,,,,,,
RE7708A,2024-08-31,BYD T018 SWB,25306,25225.0,81.0,1.28,103.87,162.04,44.66,9.729.999.989.271.160,0.0,0,0.0,0,10.0,27.000.001.072.883.600
RE7710A,2024-08-31,BYD T018 SWB,23979,23979.0,0.0,1.21,0.0,0.0,0.0,,,,,,,
RE7711A,2024-08-31,BYD T018 SWB,24828,24797.0,31.0,1.21,37.62,58.69,16.18,9.839.999.994.635.580,0.0,0,2.0,0.4000000059604645,5.0,12.000.000.476.837.100
RE7712A,2024-08-31,BYD T018 SWB,12946,12905.0,41.0,1.21,49.76,77.63,21.4,100,0.0,0,1.0,0,1.0,0
RE7713A,2024-08-31,BYD T018 SWB,25347,25271.0,76.0,1.17,88.76,138.47,38.17,9.649.999.988.079.070,0.0,0,3.0,0.800000011920929,10.0,27.000.001.072.883.600
RE7716A,2024-08-31,BYD T018 SWB,28977,28914.0,63.0,1.19,75.02,117.03,32.26,100,0.0,0,0.0,0,0.0,0
RN4491A,2024-08-31,VW eDelivery,8444,8401.0,43.0,0.58,24.94,38.91,10.72,100,1.0,0,0.0,0,0.0,0
RN4492A,2024-08-31,VW eDelivery,4938,4907.0,31.0,0.57,17.67,27.57,7.6,100,1.0,0,0.0,0,0.0,0
RE7115A,2024-08-30,BYD T018 SWB,22124,22092.0,32.0,1.15,36.64,57.16,15.76,100,0.0,0,1.0,0,0.0,0
RE7700A,2024-08-30,BYD T018 SWB,26796,26755.0,41.0,1.17,47.88,74.69,20.59,9.939.999.997.615.810,0.0,0,0.0,0,3.0,0.6000000238418579
RE7701A,2024-08-30,BYD T018 SWB,29092,28973.0,119.0,1.12,133.53,208.31,57.42,,,,,,,
RE7702A,2024-08-30,BYD T018 SWB,7546,7504.0,42.0,1.12,47.13,73.52,20.27,9.879.999.995.231.620,0.0,0,0.0,0,5.0,12.000.000.476.837.100
RE7703A,2024-08-30,BYD T018 SWB,25037,25006.0,31.0,1.17,36.2,56.47,15.57,9.919.999.998.807.900,0.0,0,3.0,0.800000011920929,1.0,0
RE7706A,2024-08-30,BYD T018 SWB,32980,32938.0,42.0,1.15,48.09,75.02,20.68,,,,,,,
RE7708A,2024-08-30,BYD T018 SWB,25225,25151.0,74.0,1.28,94.9,148.04,40.81,100,0.0,0,1.0,0,0.0,0
RE7710A,2024-08-30,BYD T018 SWB,23979,23951.0,28.0,1.21,33.98,53.01,14.61,100,0.0,0,0.0,0,1.0,0
RE7711A,2024-08-30,BYD T018 SWB,24797,24763.0,34.0,1.21,41.27,64.38,17.75,9.819.999.992.847.440,0.0,0,0.0,0,7.0,18.000.000.715.255.700
RE7712A,2024-08-30,BYD T018 SWB,12905,12830.0,75.0,1.21,91.03,142.01,39.14,100,0.0,0,0.0,0,0.0,0
RE7713A,2024-08-30,BYD T018 SWB,25271,25193.0,78.0,1.17,91.1,142.12,39.17,9.909.999.996.423.720,0.0,0,0.0,0,4.0,0.9000000357627869
RE7716A,2024-08-30,BYD T018 SWB,28914,28821.0,93.0,1.19,110.74,172.75,47.62,9.969.999.998.807.900,0.0,0,1.0,0,2.0,0.30000001192092896
RN4491A,2024-08-30,VW eDelivery,8401,8358.0,43.0,0.58,24.94,38.91,10.72,9.959.999.999.403.950,3.0,0.4000000059604645,0.0,0,0.0,0
RN4492A,2024-08-30,VW eDelivery,4907,4872.0,35.0,0.57,19.95,31.12,8.58,100,0.0,0,0.0,0,0.0,0
RE7115A,2024-08-29,BYD T018 SWB,22092,22041.0,51.0,1.15,58.4,91.1,25.11,100,0.0,0,0.0,0,0.0,0
RE7700A,2024-08-29,BYD T018 SWB,26755,26689.0,66.0,1.17,77.08,120.24,33.14,9.729.999.989.271.160,0.0,0,1.0,0,10.0,27.000.001.072.883.600
RE7701A,2024-08-29,BYD T018 SWB,28973,28973.0,0.0,1.12,0.0,0.0,0.0,,,,,,,
RE7702A,2024-08-29,BYD T018 SWB,7504,7441.0,63.0,1.12,70.69,110.28,30.4,9.699.999.988.079.070,0.0,0,0.0,0,11.0,30.000.001.192.092.800
RE7703A,2024-08-29,BYD T018 SWB,25006,25006.0,0.0,1.17,0.0,0.0,0.0,,,,,,,
RE7706A,2024-08-29,BYD T018 SWB,32938,32881.0,57.0,1.15,65.27,101.82,28.07,,,,,,,
RE7708A,2024-08-29,BYD T018 SWB,25151,25105.0,46.0,1.28,58.99,92.02,25.37,100,0.0,0,1.0,0,0.0,0
RE7711A,2024-08-29,BYD T018 SWB,24763,24706.0,57.0,1.21,69.18,107.92,29.75,9.909.999.996.423.720,0.0,0,1.0,0,4.0,0.9000000357627869
RE7712A,2024-08-29,BYD T018 SWB,12830,12830.0,0.0,1.21,0.0,0.0,0.0,100,0.0,0,0.0,0,0.0,0
RE7713A,2024-08-29,BYD T018 SWB,25193,25166.0,27.0,1.17,31.53,49.19,13.56,9.849.999.994.039.530,0.0,0,1.0,0,6.0,15.000.000.596.046.400
RE7716A,2024-08-29,BYD T018 SWB,28821,28787.0,34.0,1.19,40.49,63.16,17.41,100,0.0,0,0.0,0,0.0,0
RN4491A,2024-08-29,VW eDelivery,8358,8325.0,33.0,0.58,19.14,29.86,8.23,9.979.999.999.701.970,2.0,0.20000000298023224,0.0,0,0.0,0
RN4492A,2024-08-29,VW eDelivery,4872,4872.0,0.0,0.57,0.0,0.0,0.0,,,,,,,
RE7115A,2024-08-28,BYD T018 SWB,22041,21970.0,71.0,1.15,81.3,126.83,34.96,100,0.0,0,1.0,0,1.0,0
RE7700A,2024-08-28,BYD T018 SWB,26689,26644.0,45.0,1.17,52.56,81.99,22.6,9.889.999.997.615.810,0.0,0,3.0,0.800000011920929,2.0,0.30000001192092896
RE7701A,2024-08-28,BYD T018 SWB,28973,28909.0,64.0,1.12,71.81,112.02,30.88,,,,,,,
RE7702A,2024-08-28,BYD T018 SWB,7441,7390.0,51.0,1.12,57.23,89.28,24.61,9.879.999.995.231.620,0.0,0,1.0,0,5.0,12.000.000.476.837.100
RE7703A,2024-08-28,BYD T018 SWB,25006,24981.0,25.0,1.17,29.2,45.55,12.56,100,0.0,0,0.0,0,0.0,0
RE7706A,2024-08-28,BYD T018 SWB,32881,32808.0,73.0,1.15,83.59,130.4,35.94,,,,,,,
RE7707A,2024-08-28,BYD T018 SWB,23850,23845.0,5.0,1.15,5.73,8.94,2.46,100,0.0,0,0.0,0,0.0,0
RE7708A,2024-08-28,BYD T018 SWB,25105,25077.0,28.0,1.28,35.91,56.02,15.44,100,0.0,0,0.0,0,0.0,0
RE7711A,2024-08-28,BYD T018 SWB,24706,24652.0,54.0,1.21,65.54,102.24,28.18,9.849.999.994.039.530,0.0,0,1.0,0,6.0,15.000.000.596.046.400
RE7712A,2024-08-28,BYD T018 SWB,12830,12806.0,24.0,1.21,29.13,45.44,12.53,100,0.0,0,0.0,0,0.0,0
RE7713A,2024-08-28,BYD T018 SWB,25166,25119.0,47.0,1.17,54.89,85.63,23.6,9.779.999.992.251.390,0.0,0,2.0,0.4000000059604645,7.0,18.000.000.715.255.700
RE7716A,2024-08-28,BYD T018 SWB,28787,28747.0,40.0,1.19,47.63,74.3,20.48,100,0.0,0,0.0,0,0.0,0
RN4491A,2024-08-28,VW eDelivery,8325,8306.0,19.0,0.58,11.02,17.19,4.74,100,1.0,0,0.0,0,0.0,0
RN4492A,2024-08-28,VW eDelivery,4872,4872.0,0.0,0.57,0.0,0.0,0.0,100,0.0,0,0.0,0,0.0,0
RE7115A,2024-08-27,BYD T018 SWB,21970,21933.0,37.0,1.15,42.37,66.1,18.22,100,0.0,0,0.0,0,0.0,0
RE7700A,2024-08-27,BYD T018 SWB,26644,26611.0,33.0,1.17,38.54,60.12,16.57,9.939.999.997.615.810,0.0,0,1.0,0,3.0,0.6000000238418579
