"Placa","dia","Modelo","Odómetro Final","Odómetro Inicial","Distancia Diaria","Consumo Promedio [kWh/km]","Energía [kWh]","Costo Aproximado [$]","kgCO2","Scoring","Nro. de Veloc.","Penalización Veloc.","Nro. de Acel.","Penalización Acel.","Nro. de Fren.","Penalización Fren."
19192,2024-08-31,BYD T018 SWB,13102,13057,45,0.756,34.0,109,14.6,98.6,0,0,3,0.800,3,0.600
19192,2024-08-30,BYD T018 SWB,13057,13014,43,0.756,32.5,104,14.0,98.3,0,0,3,0.800,4,0.900
19192,2024-08-29,BYD T018 SWB,13014,12963,51,0.756,38.5,123,16.6,98.6,0,0,3,0.800,3,0.600
19192,2024-08-28,BYD T018 SWB,12963,12922,41,0.756,31.0,99.1,13.3,99.4,0,0,1,0,3,0.600
19192,2024-08-27,BYD T018 SWB,12922,12898,24,0.756,18.1,58.0,7.80,99.7,0,0,1,0,2,0.300
19192,2024-08-26,BYD T018 SWB,12898,12880,18,0.756,13.6,43.5,5.85,99.3,0,0,2,0.400,2,0.300
19192,2024-08-24,BYD T018 SWB,12880,12833,47,0.756,35.5,114,15.3,97.1,0,0,3,0.800,8,2.10
19192,2024-08-23,BYD T018 SWB,12833,12792,41,0.756,31.0,99.1,13.3,96.1,0,0,7,2.40,6,1.50
19192,2024-08-22,BYD T018 SWB,12792,12735,57,0.756,43.1,138,18.5,96.4,0,0,4,1.20,9,2.40
19192,2024-08-21,BYD T018 SWB,12735,12693,42,0.756,31.7,102,13.6,98.4,0,0,2,0.400,5,1.20
19192,2024-08-20,BYD T018 SWB,12693,12653,40,0.756,30.2,96.7,13.0,93.7,0,0,10,3.60,10,2.70
19192,2024-08-19,BYD T018 SWB,12653,12636,17,0.756,12.9,41.1,5.53,99.7,0,0,1,0,2,0.300
19192,2024-08-17,BYD T018 SWB,12636,12592,44,0.756,33.3,106,14.3,97.3,0,0,4,1.20,6,1.50
19192,2024-08-16,BYD T018 SWB,12592,12553,39,0.756,29.5,94.3,12.7,99.0,0,0,2,0.400,3,0.600
19192,2024-08-15,BYD T018 SWB,12553,12496,57,0.756,43.1,138,18.5,97.1,0,0,3,0.800,8,2.10
19192,2024-08-14,BYD T018 SWB,12496,12457,39,0.756,29.5,94.3,12.7,99.1,0,0,0,0,4,0.900
19192,2024-08-13,BYD T018 SWB,12457,12413,44,0.756,33.3,106,14.3,99.3,0,0,2,0.400,2,0.300
19192,2024-08-12,BYD T018 SWB,12413,12394,19,0.756,14.4,46.0,6.17,100,0,0,0,0,0,0
19192,2024-08-10,BYD T018 SWB,12394,12356,38,0.756,28.7,91.9,12.3,97.6,0,0,7,2.40,1,0
19192,2024-08-09,BYD T018 SWB,12356,12306,50,0.756,37.8,121,16.2,98.5,0,0,1,0,6,1.50
19192,2024-08-08,BYD T018 SWB,12306,12245,61,0.756,46.1,148,19.8,96.9,0,0,5,1.60,6,1.50
19192,2024-08-07,BYD T018 SWB,12245,12205,40,0.756,30.2,96.7,13.0,97.9,0,0,4,1.20,4,0.900
