"dia","Modelo","Placa","Odómetro Final","Odómetro Inicial","Distancia Diaria","Consumo Promedio [kWh/km]","Energía [kWh]","Costo Aproximado [$MXN]","kgCO2","Scoring","Nro. de Veloc.","Penalización Veloc.","Nro. de Acel.","Penalización Acel.","Nro. de Fren.","Penalización Fren."
2024-06-27,Fotón S3,LG02452,8387,8387,0,0.534,0,0,0,,,,,,,
2024-07-28,Fotón S3,LG02452,8988,8988,0,0.534,0,0,0,,,,,,,
2024-07-10,Fotón S3,LG02452,8585,8585,0,0.534,0,0,0,,,,,,,
2024-08-30,Fotón S3,LG02452,9921,9880,41,0.534,21.9,103,9.41,98.3,0,0,3,0.800,4,0.900
2024-08-29,Fotón S3,LG02452,9880,9841,39,0.534,20.8,97.9,8.95,94.5,0,0,5,1.60,14,3.90
2024-08-27,Fotón S3,LG02452,9841,9800,41,0.534,21.9,103,9.41,95.5,0,0,1,0,16,4.50
2024-08-26,Fotón S3,LG02452,9800,9738,62,0.534,33.1,156,14.2,92.3,0,0,3,0.800,24,6.90
2024-08-23,Fotón S3,LG02452,9738,9701,37,0.534,19.8,92.9,8.50,92.7,0,0,11,4.00,12,3.30
2024-08-22,Fotón S3,LG02452,9701,9666,35,0.534,18.7,87.8,8.04,94.2,0,0,5,1.60,15,4.20
2024-08-21,Fotón S3,LG02452,9666,9601,65,0.534,34.7,163,14.9,86.0,0,0,12,4.40,33,9.60
2024-08-20,Fotón S3,LG02452,9601,9570,31,0.534,16.6,77.8,7.12,95.0,0,0,6,2.00,11,3.00
2024-08-19,Fotón S3,LG02452,9570,9529,41,0.534,21.9,103,9.41,89.7,0,0,8,2.80,26,7.50
2024-08-16,Fotón S3,LG02452,9529,9489,40,0.534,21.4,100,9.18,95.2,0,0,7,2.40,9,2.40
2024-08-15,Fotón S3,LG02452,9489,9457,32,0.534,17.1,80.3,7.35,93.5,0,0,6,2.00,16,4.50
2024-08-14,Fotón S3,LG02452,9457,9401,56,0.534,29.9,141,12.9,96.0,0,0,5,1.60,9,2.40
2024-08-13,Fotón S3,LG02452,9401,9370,31,0.534,16.6,77.8,7.12,98.0,0,0,3,0.800,5,1.20
2024-08-12,Fotón S3,LG02452,9370,9319,51,0.534,27.2,128,11.7,96.8,0,0,3,0.800,9,2.40
2024-08-09,Fotón S3,LG02452,9319,9279,40,0.534,21.4,100,9.18,98.1,0,0,5,1.60,2,0.300
2024-08-08,Fotón S3,LG02452,9279,9241,38,0.534,20.3,95.4,8.72,97.3,0,0,4,1.20,6,1.50
2024-08-07,Fotón S3,LG02452,9241,9175,66,0.534,35.2,166,15.2,94.4,0,0,6,2.00,13,3.60
2024-08-06,Fotón S3,LG02452,9175,9139,36,0.534,19.2,90.3,8.26,96.9,0,0,2,0.400,10,2.70
2024-08-05,Fotón S3,LG02452,9139,9084,55,0.534,29.4,138,12.6,96.4,0,0,1,0,13,3.60
2024-07-30,Fotón S3,LG02452,9084,9043,41,0.534,21.9,103,9.41,96.2,0,0,3,0.800,11,3.00
2024-07-29,Fotón S3,LG02452,9043,8988,55,0.534,29.4,138,12.6,92.0,0,0,6,2.00,21,6.00
2024-07-26,Fotón S3,LG02452,8988,8950,38,0.534,20.3,95.4,8.72,98.4,0,0,2,0.400,5,1.20
2024-07-25,Fotón S3,LG02452,8950,8911,39,0.534,20.8,97.9,8.95,95.1,0,0,5,1.60,12,3.30
2024-07-24,Fotón S3,LG02452,8911,8850,61,0.534,32.6,153,14.0,87.6,0,0,11,4.00,29,8.40
2024-07-23,Fotón S3,LG02452,8850,8810,40,0.534,21.4,100,9.18,96.7,0,0,1,0,12,3.30
2024-07-22,Fotón S3,LG02452,8810,8756,54,0.534,28.8,136,12.4,98.1,0,0,2,0.400,6,1.50
2024-07-19,Fotón S3,LG02452,8756,8706,50,0.534,26.7,125,11.5,92.0,0,0,12,4.40,13,3.60
2024-07-16,Fotón S3,LG02452,8706,8689,17,0.534,9.08,42.7,3.90,100,0,0,0,0,1,0
2024-07-15,Fotón S3,LG02452,8689,8672,17,0.534,9.08,42.7,3.90,100,0,0,0,0,1,0
2024-07-12,Fotón S3,LG02452,8672,8585,87,0.534,46.5,218,20.0,94.5,2,0.200,6,2.00,12,3.30
2024-07-09,Fotón S3,LG02452,8585,8542,43,0.534,23.0,108,9.87,86.0,0,0,3,0.800,45,13.2
2024-07-08,Fotón S3,LG02452,8542,8505,37,0.534,19.8,92.9,8.50,83.5,0,0,13,4.80,40,11.7
2024-07-05,Fotón S3,LG02452,8505,8505,0,0.534,0,0,0,100,0,0,1,0,0,0
2024-07-01,Fotón S3,LG02452,8505,8440,65,0.534,34.7,163,14.9,98.6,2,0.200,4,1.20,1,0
2024-06-29,Fotón S3,LG02452,8440,8430,10,0.534,5.34,25.1,2.30,97.7,0,0,3,0.800,6,1.50
2024-06-28,Fotón S3,LG02452,8430,8387,43,0.534,23.0,108,9.87,98.5,0,0,4,1.20,2,0.300
2024-06-26,Fotón S3,LG02452,8387,8387,0,0.534,0,0,0,100,0,0,1,0,0,0
2024-06-25,Fotón S3,LG02452,8387,8386,1,0.534,0.530,2.49,0.228,100,0,0,1,0,0,0
2024-06-24,Fotón S3,LG02452,8386,8332,54,0.534,28.8,136,12.4,98.4,0,0,2,0.400,5,1.20
2024-06-21,Fotón S3,LG02452,8332,8292,40,0.534,21.4,100,9.18,99.1,0,0,0,0,4,0.900
2024-06-20,Fotón S3,LG02452,8292,8254,38,0.534,20.3,95.4,8.72,96.3,0,0,5,1.60,8,2.10
2024-06-19,Fotón S3,LG02452,8254,8195,59,0.534,31.5,148,13.5,95.2,0,0,4,1.20,13,3.60
2024-06-18,Fotón S3,LG02452,8195,8153,42,0.534,22.4,105,9.64,95.5,0,0,1,0,16,4.50
2024-06-17,Fotón S3,LG02452,8153,8094,59,0.534,31.5,148,13.5,97.6,0,0,1,0,9,2.40
2024-06-14,Fotón S3,LG02452,8094,8056,38,0.534,20.3,95.4,8.72,97.4,0,0,6,2.00,3,0.600
2024-06-13,Fotón S3,LG02452,8056,8018,38,0.534,20.3,95.4,8.72,96.3,0,0,5,1.60,8,2.10
2024-06-12,Fotón S3,LG02452,8018,7937,81,0.534,43.3,203,18.6,94.2,0,0,5,1.60,15,4.20
2024-06-11,Fotón S3,LG02452,7937,7880,57,0.534,30.4,143,13.1,96.2,0,0,3,0.800,11,3.00
2024-06-10,Fotón S3,LG02452,7880,7817,63,0.534,33.6,158,14.5,92.0,0,0,9,3.20,17,4.80
2024-06-07,Fotón S3,LG02452,7817,7780,37,0.534,19.8,92.9,8.50,98.3,0,0,3,0.800,4,0.900
2024-06-06,Fotón S3,LG02452,7780,7743,37,0.534,19.8,92.9,8.50,96.5,0,0,3,0.800,10,2.70
2024-06-05,Fotón S3,LG02452,7743,7668,75,0.534,40.0,188,17.2,93.9,0,0,5,1.60,16,4.50
2024-06-04,Fotón S3,LG02452,7668,7629,39,0.534,20.8,97.9,8.95,95.9,0,0,3,0.800,12,3.30
2024-06-03,Fotón S3,LG02452,7629,7571,58,0.534,31.0,146,13.3,97.6,0,0,1,0,9,2.40
2024-06-23,Fotón S3,LG02465,8105,8105,0,0.636,0,0,0,,,,,,,
2024-08-30,Fotón S3,LG02465,10466,10408,58,0.636,36.9,173,15.9,97.0,0,0,4,1.20,7,1.80
