dia;Operador;Modelo;Placa;Odometro Final;Odometro Inicial;Distancia Diaria;energy;kWh/km
27/06/2023;GRUPO MODELO;BYD T018 SWB;RE7705A;6010;6010;0;0;NULL
18/08/2023;GRUPO MODELO;VW eDelivery;RN4490A;11232;11232;0;0;NULL
20/02/2024;DEMOS;JAC E Sunray;DEMO-DHL;5456;5456;0;0;NULL
15/04/2024;99 MINUTOS;Dayun E3;A404AG;13796;13796;0;NULL;NULL
18/04/2024;DEMOS;Yutong ZK6180BEVG;DEMO-18M-L4;61396;61396;0;NULL;NULL
22/04/2024;LALA;BYD T45;31J865;14176;14176;0;0;NULL
01/06/2024;LALA;BYD T45;EU2283C;117;NULL;NULL;NULL;NULL
01/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;1210276;208825;208528;297;384,59;1,29
01/06/2024;LALA;BYD T45;31J774;13995;NULL;NULL;NULL;NULL
01/06/2024;MAXUS;AT EV 2.5;LSF1L2301PD200772;4407;NULL;NULL;NULL;NULL
01/06/2024;BOSQUES DE SANTA FE;JAC EJ7;42F134;123627;123376;251;44,01;0,18
01/06/2024;LALA;JAC E10X;57J996;42;NULL;NULL;NULL;NULL
01/06/2024;LALA;BYD T45;31J773;14099;14065;34;29,62;0,87
01/06/2024;LALA;BYD T45;PX1147B;115;NULL;NULL;NULL;NULL
01/06/2024;HEINEKEN;BYD T018 SWB;19194;12109;NULL;NULL;NULL;NULL
01/06/2024;BOSQUES DE SANTA FE;JAC EJ7;26F459;158826;158590;236;42,56;0,18
01/06/2024;LALA;JAC E10X;58J046;79;79;0;0;NULL
01/06/2024;GRUPO MODELO;BYD T018 SWB;RE7710A;21195;NULL;NULL;NULL;NULL
01/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A013;251374;251123;251;325,02;1,29
01/06/2024;HEINEKEN;BYD T018 SWB;19192;10040;NULL;NULL;NULL;NULL
01/06/2024;LALA;BYD T45;32J974;16097;16060;37;30,04;0,81
01/06/2024;DHL-Brasil;JAC IEV1200T PLUS;GHQ8J41;13531;13531;0;NULL;NULL
01/06/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A015;250729;250729;0;0;NULL
